Base,Relative,Media,Type,Name,Reel,Scene,Take,Rate,Start,Duration,End,Frames,Resolution,Codec,Model,Speed,ISO,Lens,ShutterAngle,WhiteBalance,MD5,xxHash,UUID,Size
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C001_220507_R6VL",areca,,"B001C001_220507_R6VL.0059556.arx","B001R6VL",,C001,25.000,00:39:42:06,00:00:06:08,00:39:48:14,158,3414x2198,ARRIRAW,Alexa,25.000,800,,,,4C261F5311DD54142E0A968849F67787,9a4cfc9a55ed33cc,CB501161-0000-4000-8904-831700000000,1024133730
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C001_220507_R6VL",areca,,"B001C001_220507_R6VL.xml","",,,,,,,,,,,,,,,,5CACE4A8CF4C2B9CEFE28D37C6B2B8ED,eb92bc02bb4297b5,,18579
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C002_220507_R6VL",areca,,"B001C002_220507_R6VL.0062367.arx","B001R6VL",,C002,25.000,00:41:34:17,00:03:43:00,00:45:17:17,5575,3414x2198,ARRIRAW,Alexa,25.000,800,,,,7AE15ABF3AC43EAEE06214ED53E269BB,7c58b570c5c96cdd,F445ACB5-0000-4000-90F3-749D00000000,33003213502
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C002_220507_R6VL",areca,,"B001C002_220507_R6VL.xml","",,,,,,,,,,,,,,,,DC0D4DBEC8581CC32C0C66810948CB43,2d69017d5dfd7b79,,18585
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C003_220507_R6VL",areca,,"B001C003_220507_R6VL.1302845.arx","B001R6VL",,C003,25.000,14:28:33:20,00:00:02:16,14:28:36:11,66,3414x2198,ARRIRAW,Alexa,25.000,800,,,,9ECC3CB1FD8689DA247757C6DD3038E4,f19f0fff668d748e,B34A8681-0000-4000-A071-4EA000000000,416851493
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C003_220507_R6VL",areca,,"B001C003_220507_R6VL.xml","",,,,,,,,,,,,,,,,254A4D13EC7A169887DBF4FD1271801C,0853ebd1e856d307,,18573
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C004_220507_R6VL",areca,,"B001C004_220507_R6VL.1303127.arx","B001R6VL",,C004,25.000,14:28:45:02,00:01:40:17,14:30:25:19,2517,3414x2198,ARRIRAW,Alexa,25.000,800,,,,E5B7DC8D27D8CAF4B843C258D4A0F2C1,7bda9dea0aa53ff5,85F9EFE8-0000-4000-B3F5-209C00000000,15419479218
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C004_220507_R6VL",areca,,"B001C004_220507_R6VL.xml","",,,,,,,,,,,,,,,,6590C2FF4A9202C64FF9A99CB7A83D35,27d666aa13d518d8,,18585
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C005_220507_R6VL",areca,,"B001C005_220507_R6VL.1320748.arx","B001R6VL",,C005,25.000,14:40:29:23,00:03:15:16,14:43:45:14,4891,3414x2198,ARRIRAW,Alexa,25.000,800,,,,6644B4E7366673BAA2A06372DC3F07BF,33f443d7a8c5f2af,097AF671-0000-4000-AD57-B5CD00000000,29574840746
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C005_220507_R6VL",areca,,"B001C005_220507_R6VL.xml","",,,,,,,,,,,,,,,,E9E1C2B133277BC1C7BAAF2CF9F78810,c274b3397e58d47e,,18585
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C006_220507_R6VL",areca,,"B001C006_220507_R6VL.1325715.arx","B001R6VL",,C006,25.000,14:43:48:15,00:00:02:04,14:43:50:19,54,3414x2198,ARRIRAW,Alexa,25.000,800,,,,AC230553E4392B938595B8F9FA8F52A0,3710a4590163ab30,17A27866-0000-4000-B2A2-099400000000,301670122
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C006_220507_R6VL",areca,,"B001C006_220507_R6VL.xml","",,,,,,,,,,,,,,,,B2BBDBA43ADC6001C95169E0EAB8F6DB,a77256df1e23dfe0,,18573
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C007_220507_R6VL",areca,,"B001C007_220507_R6VL.1327266.arx","B001R6VL",,C007,25.000,14:44:50:16,00:00:29:15,14:45:20:06,740,3414x2198,ARRIRAW,Alexa,25.000,800,,,,BC19B06C88AB1F9FC67EE81ECE57D8F0,ee2b528a6f1d4777,709BB96D-0000-4000-8390-8CDC00000000,4446137056
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C007_220507_R6VL",areca,,"B001C007_220507_R6VL.xml","",,,,,,,,,,,,,,,,F78E580D9F7A9EF5D13CD2E21086D75D,eb94f11b18e6d583,,18579
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C008_220507_R6VL",areca,,"B001C008_220507_R6VL.1328484.arx","B001R6VL",,C008,25.000,14:45:39:09,00:01:40:11,14:47:19:20,2511,3414x2198,ARRIRAW,Alexa,25.000,800,,,,6C055909D7072B14AF0C5891E0044CBB,a0833fbd7fd5d776,D4FC40B9-0000-4000-ABBB-FA9700000000,14756994201
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C008_220507_R6VL",areca,,"B001C008_220507_R6VL.xml","",,,,,,,,,,,,,,,,F752C80AE864DB6B4FD1F2D2742D286E,528f3c7b90497aab,,18584
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C009_220507_R6VL",areca,,"B001C009_220507_R6VL.1333378.arx","B001R6VL",,C009,25.000,14:48:55:03,00:01:05:14,14:50:00:17,1639,3414x2198,ARRIRAW,Alexa,25.000,800,,,,E123EA4A4606A1CF68203EDAA135AEF0,5c0159cb4ea6a5fa,BE1CFB36-0000-4000-ACE2-084F00000000,9531738646
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C009_220507_R6VL",areca,,"B001C009_220507_R6VL.xml","",,,,,,,,,,,,,,,,5E51071D4C57648AB15470994DA86491,a91b0568be3390c6,,18584
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C010_220507_R6VL",areca,,"B001C010_220507_R6VL.1335725.arx","B001R6VL",,C010,25.000,14:50:29:00,00:11:39:11,15:02:08:11,17486,3414x2198,ARRIRAW,Alexa,25.000,800,,,,EE7D7E84BA393DF3AE836BABFB259DE4,5f3219b02568003f,D3440D9C-0000-4000-BC0B-C24900000000,104055639428
"/Volumes/areca/Projects/BIMOK/RUSHES/20220507_PU_SD01","OCN/B001/B001R6VL/B001C010_220507_R6VL",areca,,"B001C010_220507_R6VL.xml","",,,,,,,,,,,,,,,,BD3144FCBCE9C1BCD23327D04E339A1B,3a74e496a03dcb2e,,18591
